 
 SAP2000 v20.0.0 File: 4STORYSTRUCTURE  N, mm, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  RSN68-San Fernando
 FUNCTION  x:  Joint 71  Displacement  UX    
 FUNCTION  y:  Joint 71  Displacement  UY    
 
       TIME    FUNCTION    FUNCTION
               x           y
         0.    -0.08642     0.35256
        0.1    -0.11373     0.34257
        0.2    -0.12886     0.33201
        0.3    -0.08062     0.31131
        0.4    -0.21876     0.39354
        0.5    -0.03876     0.58056
        0.6    -0.19021     0.60088
        0.7    -0.42931      0.7025
        0.8     -0.3064     0.58664
        0.9    -0.16975     0.50074
         1.     0.31604    -0.24314
        1.1     1.13438    -0.56704
        1.2     -0.2521    -0.26277
        1.3    -1.70491      0.0472
        1.4     -1.4881     1.32268
        1.5     0.31777     1.97522
        1.6     0.49492     0.30766
        1.7     8.94143    -5.34826
        1.8      6.5386    -2.29165
        1.9    -7.95688     3.86689
         2.   -16.87294     5.52355
        2.1   -10.91716     3.68876
        2.2      2.6124      0.0217
        2.3     9.99299     0.54547
        2.4     6.17631      1.7814
        2.5     0.99779     0.40687
        2.6     0.66051     0.65743
        2.7    -9.38852     6.46897
        2.8     -7.2939     3.78966
        2.9     4.94591    -2.64889
         3.    -2.92104      0.9557
        3.1   -15.64141      0.3286
        3.2   -20.00117      0.3418
        3.3    -7.11948     1.91559
        3.4    11.30963     0.63519
        3.5     3.46784     2.90571
        3.6     6.46894    -0.58451
        3.7      7.0159    -4.55622
        3.8   -10.47014     1.39883
        3.9   -16.09136     4.09877
         4.     -1.9919     3.08268
        4.1     7.93504     5.38862
        4.2     2.82867     1.71604
        4.3    -7.21329    -0.07893
        4.4   -17.84955     4.45323
        4.5   -14.94964     0.26784
        4.6    -0.59673   -11.67798
        4.7    -2.89191    -9.25815
        4.8    -6.66835     6.84359
        4.9     -1.4664    17.14365
         5.     3.45943     8.57198
        5.1     5.74221    -4.39416
        5.2     3.91479    -4.24826
        5.3    -0.65224     4.54591
        5.4   -10.51209    14.03975
        5.5   -15.28374     9.55144
        5.6   -12.09267     -7.6351
        5.7    -5.86767   -16.10599
        5.8    -1.52314    -2.83477
        5.9    -4.17937     8.15487
         6.     1.91406     5.10929
        6.1    -0.75997    -1.63517
        6.2    -9.31269    -3.13623
        6.3    -7.09026    -4.90739
        6.4     0.79829    -0.51266
        6.5     -0.6907     5.08264
        6.6    -7.49177     1.92007
        6.7    -4.51989    -7.99698
        6.8     2.12577    -6.64412
        6.9    -3.08528      5.9983
         7.    -9.77656    16.13025
